time,ema_diff,atr,rsi,volume_norm,volatility_regime,trend,target
2025-12-19 11:00:00,6.899325201295142,6.635000000000218,44.11764705882353,1.5812690872073296,0,1.0,1
2025-12-19 11:01:00,5.973991266142548,6.990714285714473,34.23913043478261,2.0281509916826614,0,1.0,1
2025-12-19 11:02:00,5.147304189864371,6.883571428571615,40.38461538461538,1.6886953817446742,0,1.0,1
2025-12-19 11:03:00,4.277243606509728,7.087857142857372,31.450749464667595,1.4327084285932021,0,1.0,1
2025-12-19 11:04:00,4.379451470631466,7.997857142857486,51.19115685153418,1.4594674120935707,0,1.0,0
2025-12-19 11:05:00,4.795359701827692,8.033571428571772,55.14886164623537,1.4303886925795053,0,1.0,0
2025-12-19 11:06:00,4.781568034635711,8.487857142857527,44.806763285024026,1.2534435261707988,0,1.0,0
2025-12-19 11:07:00,4.695698460131098,8.372857142857486,41.84734708267276,0.9415003441156229,0,1.0,0
2025-12-19 11:08:00,4.855616884309711,8.43500000000027,44.53597848016169,0.6375176304654443,0,1.0,0
2025-12-19 11:09:00,4.8644512310638675,8.658571428571772,44.913530010173226,0.8438463694981778,0,1.0,0
2025-12-19 11:10:00,4.531834024623095,8.944285714286057,41.565981484387684,0.7039685878558407,0,1.0,0
2025-12-19 11:11:00,3.917647325000871,9.203571428571845,38.824563974791666,1.0125523012552302,0,1.0,0
2025-12-19 11:12:00,3.5231763570773182,9.18500000000027,45.43900543900639,1.0645028194196122,0,1.0,0
2025-12-19 11:13:00,3.18111736868741,9.087142857143201,50.0,0.820555325321177,0,1.0,0
2025-12-19 11:14:00,2.6898182205368357,9.122857142857486,47.17650855114568,1.2075674225144237,0,1.0,0
2025-12-19 11:15:00,2.252695176830457,8.713571428571802,52.70367700072082,0.9751561046897834,0,1.0,1
2025-12-19 11:16:00,1.8609376283748134,8.798571428571709,52.64674108750311,1.1752603831811752,0,1.0,1
2025-12-19 11:17:00,1.5414511408635008,8.513571428571595,55.40238450074409,0.7612016293279023,0,1.0,1
2025-12-19 11:18:00,1.313992948111263,7.487857142857267,38.72536472997114,0.7290615539858729,0,1.0,1
2025-12-19 11:19:00,1.2867104558208666,7.595000000000125,33.629054616024106,0.759589821496392,0,1.0,1
2025-12-19 11:20:00,1.4122502857499057,6.8721428571430545,45.869297163994915,0.673426937077483,0,1.0,1
2025-12-19 11:21:00,2.1043404636366176,7.550000000000052,60.51502145922654,1.1786666666666668,0,1.0,0
2025-12-19 11:22:00,2.4992224372726923,7.767857142857143,50.93925347645816,0.9943996721759322,0,1.0,0
2025-12-19 11:23:00,2.640994825418602,7.732142857142857,49.22206506364943,0.6850859881590077,0,1.0,1
2025-12-19 11:24:00,3.0344832605842385,7.490714285714213,62.10703143748462,0.4445761707172496,0,1.0,1
2025-12-19 11:25:00,3.4755661738381605,7.356428571428426,73.02045097010999,0.9258976317799847,0,1.0,0
2025-12-19 11:26:00,3.803993743906176,7.1599999999998545,69.45213060320991,0.8188976377952756,0,1.0,1
2025-12-19 11:27:00,4.1873271638505685,7.1685714285712105,70.8630245447348,0.7528431843664906,0,1.0,0
2025-12-19 11:28:00,4.602951912038407,6.829285714285496,78.59302006045556,0.7886334610472542,0,1.0,0
